workerId,speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,education,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,formerParticipants,maoriProf,ethnicity1,regionMost1,maoriExpo,regionCurrentLive1,maoriAttitude
nz_24,1,1,1,no,30-39,woman,European/P?keh?,Yes,north,No,Auckland,undergraduate,4,4,Yes,3,Auckland,long,English,NZ,None,No,No,None,5,5,No,2,Non M,north,8,north,10
nz_25,1,1,1,no,18-29,woman,European/P?keh?,Yes,south,No,Canterbury,undergraduate,3,4,No,6,Canterbury,short,English,NZ,None,No,No,None,5,5,No,2,Non M,south,7,south,10
nz_26,2,2,1,lang,50-59,woman,European/P?keh?,Yes,north,No,Wellington,certificate or diploma,5,4,Yes,6,Wellington,long,English,NZ,None,No,No,None,5,5,No,4,Non M,north,9,north,10
nz_27,1,1,1,no,30-39,woman,European/P?keh?,Yes,south,No,Canterbury,graduate,5,4,Yes,9,Northland,short,English,NZ,None,No,No,None,5,5,No,2,Non M,south,9,north,10
nz_28,1,1,1,no,18-29,NB,European/P?keh?,Yes,north,No,Auckland,high school,5,3,No,7,Auckland,long,English,NZ,None,No,No,None,4,2,No,2,Non M,north,8,north,6
nz_29,1,1,1,no,30-39,woman,European/P?keh?/M?ori,Yes,north,No,Bay of Plenty,high school,5,5,Yes,6,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,Yes,2,M,north,10,north,10
nz_30,1,1,1,no,40-49,woman,European/P?keh?,Yes,north,No,Waikato,certificate or diploma,5,4,Yes,8,Wairarapa,short,English,NZ,None,No,No,None,5,5,No,2,Non M,north,9,south,10
nz_31,1,1,0,no,60,woman,European/P?keh?,Yes,north,No,Taranaki,certificate or diploma,3,3,No,1,Taranaki,long,English,NZ,None,No,No,None,5,5,Yes,2,Non M,north,6,north,10
nz_32,1,1,2,no,40-49,woman,European/P?keh?/M?ori,Yes,north,No,Bay of Plenty,undergraduate,4,4,Yes,7,Bay of Plenty,long,English,NZ,None,No,No,None,5,5,No,2,M,north,8,north,10
nz_33,1,1,1,no,18-29,woman,European/P?keh?,Yes,north,No,Manawatu,high school,4,3,No,9,Canterbury,short,English,NZ,None,No,No,None,5,5,No,2,Non M,north,7,south,10
nz_34,2,2,2,no,40-49,woman,M?ori,Yes,north,No,Wellington,certificate or diploma,3,4,Yes,8,Wellington,long,English,NZ,None,No,No,None,5,5,No,4,M,north,7,north,10
